ref,pos_o,vel_o,ang_o,vel_ang_o
0,4.693e-05,0.00017434,2.1323e-06,-0.0032723
0,7.8549e-05,0.00027572,-6.2423e-05,0.027375
0,0.00063714,0.0025098,0.00048563,0.064138
0,0.0045151,0.017972,0.0017691,0.4624
0,0.0020773,0.0059644,0.011018,3.288
0,8.4782e-05,-0.0028449,0.076776,2.9193
0,-0.0010388,-0.0071998,0.13515,1.0629
0,-0.0018152,-0.0096775,0.15637,-0.87853
0,0.0027678,0.009873,0.13877,-2.4606
0,0.0019164,0.0050979,0.089524,-0.033665
0,0.0015771,0.0029833,0.088834,0.73767
0,0.0010595,0.00039765,0.10357,0.85987
0,0.00096012,-0.00019642,0.12075,0.48174
0,0.00061781,-0.0017312,0.13036,0.13622
0,0.00037714,-0.0026628,0.13305,-0.32128
0,0.00021178,-0.0031802,0.12659,-0.73179
0,0.00036921,-0.002298,0.11192,-1.0201
0,0.00021534,-0.0027727,0.091492,-0.99141
0,0.00011452,-0.0029678,0.071643,-0.99496
0,0.00032027,-0.0018866,0.051728,-0.97606
0,0.00046902,-0.0011489,0.032198,-0.73213
0,0.00030699,-0.0017348,0.017551,-0.41591
0,0.00046756,-0.00094661,0.0092346,-0.30046
0,0.00058186,-0.00043321,0.0032298,-0.086049
0,0.00039438,-0.0012213,0.0015175,0.13003
0,0.00026407,-0.0016686,0.0041252,0.12659
0,0.0001759,-0.0019012,0.0066643,0.03496
0,0.00011636,-0.0019691,0.007367,-0.065219
0,7.8993e-05,-0.0019458,0.0060668,-0.1457
0,5.6885e-05,-0.001863,0.0031575,-0.19254
0,4.5939e-05,-0.0017551,-0.00068618,-0.20824
0,0.00031093,-0.00054474,-0.0048415,-0.1975
0,0.00022743,-0.00087494,-0.0087826,0.019117
0,0.00044,1.9769e-05,-0.0083876,0.090062
0,0.00085571,0.0016395,-0.0065744,0.27661
0,0.00087239,0.0014404,-0.0010297,0.64728
0,0.00087813,0.0012132,0.011927,0.81496
0,0.00087648,0.00095707,0.028236,0.83988
0,0.00059965,-0.00039069,0.045037,0.77671
0,0.00040277,-0.0012716,0.06057,0.47736
0,0.00053252,-0.00073253,0.070111,0.12422
0,0.00035106,-0.0014931,0.072582,0.00059778
0,0.00049332,-0.00083693,0.072578,-0.19467
0,0.00032512,-0.0015388,0.068672,-0.19706
0,0.00048007,-0.00089345,0.064725,-0.30908
0,0.00031924,-0.0016115,0.05854,-0.24819
0,0.00047562,-0.00093478,0.053572,-0.30413
0,0.00031488,-0.0015952,0.047484,-0.19936
0,0.00047256,-0.00086498,0.043491,-0.22716
0,0.00031468,-0.0014977,0.038943,-0.11038
0,0.00047485,-0.0007539,0.03673,-0.13534
0,0.00085735,0.00077977,0.034023,-0.02693
0,0.00085104,0.00058425,0.033482,0.30698
0,0.00084344,0.0004044,0.039619,0.46999
0,0.00056629,-0.00086361,0.049016,0.51789
0,0.00037168,-0.0016614,0.059368,0.31045
0,0.00050451,-0.0010308,0.065568,0.035173
0,0.00032945,-0.0017493,0.066262,-0.036725
0,0.00020849,-0.0021638,0.065518,-0.1953
0,0.00039658,-0.0013006,0.061606,-0.35639
0,0.00025928,-0.0018424,0.054472,-0.28718
0,0.00016483,-0.0021236,0.048721,-0.31205
0,0.0001031,-0.0022527,0.042478,-0.36235
0,0.00033244,-0.0011826,0.03523,-0.39764
0,0.00049401,-0.0005058,0.027279,-0.22069
0,0.00060653,-9.9583e-05,0.022869,0.015625
0,0.00041458,-0.00096948,0.023185,0.23222
0,0.0005495,-0.0004189,0.027835,0.20825
0,0.00037323,-0.0011965,0.032004,0.27395
0,0.00024998,-0.0016697,0.037485,0.171
0,0.00016474,-0.0019313,0.040904,0.018268
0,0.00037704,-0.00097852,0.041271,-0.12864
0,0.00052565,-0.00040629,0.038701,-0.056255
0,0.00036083,-0.0012142,0.037585,0.082865
0,0.00051233,-0.00062058,0.039249,0.042147
0,0.00034732,-0.0013802,0.040098,0.11797
0,0.00023106,-0.0018397,0.04246,0.03948
0,0.00015172,-0.002116,0.043255,-0.091041
0,9.7562e-05,-0.0022515,0.041439,-0.21086
0,6.2078e-05,-0.0022939,0.037226,-0.2967
0,0.00030889,-0.0011835,0.031298,-0.34219
0,0.0004813,-0.00048855,0.024461,-0.16436
0,0.00060027,-7.5711e-05,0.021181,0.075216
0,0.00041148,-0.00093581,0.02269,0.29575
0,0.00054784,-0.00037155,0.028609,0.27415
0,0.00064189,-5.8403e-05,0.034095,0.33595
0,0.00070487,8.6876e-05,0.040816,0.40957
0,0.00047695,-0.0009777,0.049008,0.45927
0,0.00031652,-0.0016571,0.058193,0.2901
0,0.00047313,-0.00097497,0.063991,0.057972
0,0.00031199,-0.0016503,0.065143,0.02975
0,0.00046933,-0.00095966,0.065731,-0.10025
0,0.00030999,-0.0016347,0.063719,-0.057827
0,0.00046848,-0.00093829,0.062555,-0.13731
0,0.00057986,-0.00053479,0.059805,-0.065418
0,0.00038701,-0.0014076,0.058493,0.056812
0,0.0005209,-0.00084547,0.059625,-0.0098195
0,0.0006135,-0.00051799,0.059425,0.045355
0,0.00040767,-0.0014411,0.060328,0.13621
0,0.000264,-0.0020069,0.063048,0.035071
0,0.00016441,-0.0023154,0.063743,-0.12009
0,9.8098e-05,-0.0024649,0.061335,-0.26538
0,5.5188e-05,-0.0025043,0.056023,-0.36848
0,0.00029744,-0.0013741,0.048651,-0.42028
0,0.00019905,-0.0017461,0.040243,-0.24118
0,0.00040123,-0.00084517,0.03542,-0.17874
0,0.00054247,-0.00028792,0.031846,0.018985
0,0.00064002,2.6444e-05,0.032229,0.23304
0,0.00043694,-0.00091917,0.036892,0.40668
0,0.00056302,-0.00042643,0.045028,0.33481
0,0.00038063,-0.0012641,0.051725,0.3512
0,0.00052059,-0.00068988,0.058748,0.20738
0,0.0006165,-0.00036609,0.062891,0.2039
0,0.00041252,-0.0013096,0.066965,0.24724
0,0.00026881,-0.0018929,0.071904,0.11039
0,0.00043827,-0.0011463,0.074104,-0.077392
0,0.00055611,-0.00069906,0.072549,-0.063177
0,0.00063697,-0.00045484,0.071279,0.028837
0,0.0004221,-0.0014321,0.071848,0.13339
0,0.00054042,-0.00093963,0.074508,0.034108
0,0.00062193,-0.00065487,0.075181,0.05577
0,0.00040811,-0.001597,0.076287,0.11977
0,0.00025985,-0.0021811,0.078674,-0.003581
0,0.00042631,-0.0014162,0.078593,-0.1745
0,0.00054223,-0.000931,0.075092,-0.13932
0,0.00062221,-0.00063235,0.072294,-0.023222
0,0.00040785,-0.0015501,0.071817,0.10535
0,0.00025922,-0.0020953,0.073912,0.027289
0,0.00042649,-0.0012963,0.074445,-0.11586
0,0.00054463,-0.00080115,0.072116,-0.06965
0,0.000358,-0.0016026,0.070713,0.046529
0,0.00022832,-0.0020722,0.071633,-0.014402
0,0.00014042,-0.0023288,0.071335,-0.13381
0,0.00035066,-0.0013457,0.068649,-0.24611
0,0.00049816,-0.00072271,0.063718,-0.1388
0,0.00033146,-0.0014309,0.060932,0.042974
0,0.00021629,-0.0018478,0.061783,0.034718
0,0.0001381,-0.0020732,0.062469,-0.046263
0,8.6092e-05,-0.0021694,0.061535,-0.13612
0,0.00032135,-0.0010865,0.058805,-0.20458
0,0.00021818,-0.0015149,0.054708,-0.061124
