ref,pos_o,vel_o,ang_o,vel_ang_o
0,4.6397e-05,0.00018448,5.3081e-07,-0.00078726
0,7.8502e-05,0.00028495,-1.4102e-05,0.029174
0,0.00036936,0.0014116,0.00057229,0.061914
0,0.00029981,0.00094718,0.0018126,0.27181
0,0.0005172,0.0016931,0.0072517,0.31475
0,0.00066344,0.0020677,0.013547,0.45702
0,0.00075982,0.0021789,0.022687,0.58958
0,0.00082004,0.0021172,0.034477,0.66911
0,0.00085378,0.0019578,0.047852,0.68788
0,0.00086958,0.0017395,0.061598,0.65056
0,0.00060378,0.00041445,0.074591,0.57445
0,0.00068293,0.00063838,0.086057,0.28811
0,0.00046531,-0.00036909,0.091792,0.14413
0,0.00031255,-0.0010074,0.094647,-0.1116
0,0.00020675,-0.0013866,0.092386,-0.36284
0,0.00013487,-0.0015782,0.085102,-0.55431
0,8.8255e-05,-0.0016449,0.07399,-0.67076
0,5.9672e-05,-0.0016227,0.060553,-0.71366
0,0.00031284,-0.00044973,0.046262,-0.69562
0,0.00022227,-0.00078328,0.032334,-0.44607
0,0.00016211,-0.00094965,0.023401,-0.32237
0,0.00039254,7.3494e-05,0.016948,-0.26102
0,0.00055466,0.00068495,0.011726,-0.043391
0,0.00039752,-7.354e-05,0.010859,0.19772
0,0.00028687,-0.00055471,0.014814,0.21313
0,0.00021003,-0.00085649,0.019078,0.12851
0,0.00015645,-0.0010228,0.021647,0.020039
0,0.00012106,-0.0011158,0.022048,-0.081255
0,9.7908e-05,-0.0011547,0.020424,-0.15661
0,8.3897e-05,-0.0011667,0.017296,-0.2044
0,7.5174e-05,-0.0011474,0.013211,-0.22259
0,0.00034029,-3.5521e-05,0.0087674,-0.22244
0,0.00079269,0.0017176,0.0043269,-0.02075
0,0.00083449,0.0016047,0.003921,0.40514
0,0.0005913,0.00029364,0.01204,0.62806
0,0.00068481,0.00050346,0.024614,0.52697
0,0.0004756,-0.0005429,0.035162,0.48059
0,0.00032697,-0.0012428,0.044781,0.25766
0,0.00048915,-0.00057763,0.049934,0.0022206
0,0.00060081,-0.00020391,0.049978,-0.040461
0,0.00040781,-0.0011195,0.04917,0.0055808
0,0.00054065,-0.00059804,0.049281,-0.10728
0,0.00036337,-0.0014026,0.047137,-0.078415
0,0.00050802,-0.0007956,0.045569,-0.18033
0,0.00060797,-0.00043189,0.041962,-0.12551
0,0.0004077,-0.0013286,0.039452,-0.017556
0,0.00026792,-0.0018671,0.039102,-0.091812
0,0.00044109,-0.0010755,0.037267,-0.2218
0,0.00056274,-0.00059124,0.032835,-0.15845
0,0.00064671,-0.00030972,0.029669,-0.0244
0,0.00043513,-0.0012626,0.029187,0.11157
0,0.00028703,-0.0018373,0.031422,0.037222
0,0.00045433,-0.0010736,0.032171,-0.10842
0,0.0005715,-0.00060793,0.030008,-0.066324
0,0.00038408,-0.0014441,0.028689,0.042222
0,0.00052216,-0.00085832,0.029541,-0.027383
0,0.00034919,-0.0016084,0.029,0.029987
0,0.0002282,-0.0020403,0.029605,-0.053881
0,0.00041429,-0.0011668,0.028532,-0.17439
0,0.00027658,-0.0017156,0.025049,-0.097056
0,0.00018486,-0.0020728,0.023122,-0.1472
0,0.00039249,-0.0012085,0.020198,-0.23463
0,0.00053905,-0.00075305,0.015534,-0.13914
0,0.0003729,-0.0017069,0.012793,-0.001577
0,0.00052679,-0.0013635,0.012819,-0.079477
0,0.00036341,-0.0024617,0.011302,-0.064234
0,0.0002443,-0.0032992,0.010096,-0.21117
0,0.00015736,-0.003957,0.0059577,-0.40884
0,0.00036316,-0.0034082,-0.0021241,-0.59974
