pos,pos_o,vel,vel_o,ang,ang_o,vel_ang,vel_ang_o
0.00011799,4.6578e-05,0.0058994,0.0035051,0.00018103,1.0751e-06,0.017709,-21.458
0.00011799,7.5826e-05,0,-0.023512,0.00033297,-0.42916,-1.9976,-33.719
0.00011799,0.00010858,0,-0.33341,0.0014939,-1.1035,-23.555,-39.608
0.00080396,0.00039236,0.034299,-1.289,0.0062108,-1.8957,-50.654,-40.991
0.0042339,0.0019531,0.1715,-2.5812,0.019094,-2.7157,-63.738,-39.37
0.0042339,0.0031161,0,-3.8408,0.032339,-3.5035,-63.341,-35.984
0.0042339,0.0040451,0,-5.0608,0.046455,-4.2236,-60.043,-31.679
0.0042339,0.0048465,0,-6.2401,0.061631,-4.8578,-57.127,-27.023
0.00080396,0.0042736,-0.1715,-7.0742,0.071828,-5.3989,-36.089,-22.522
-0.00194,0.00307,-0.1372,-7.4555,0.079534,-5.85,-19.02,-18.534
0.017268,0.010039,0.96038,-7.6949,0.12039,-6.2212,-11.478,-15.111
0.00080396,0.0086611,-0.82319,-7.8943,0.12333,-6.524,-7.4327,-12.212
0.017268,0.014364,0.82319,-7.8821,0.15486,-6.7686,-1.0968,-9.8684
0.010408,0.015796,-0.34299,-7.9211,0.16564,-6.9663,-3.6617,-7.9505
0.013152,0.017969,0.1372,-7.9994,0.1785,-7.1257,-0.043359,-6.3654
0.013152,0.019575,0,-7.8933,0.18742,-7.2532,1.1627,-5.1441
0.016582,0.022082,0.1715,-7.9418,0.19917,-7.3563,-0.95939,-4.1316
0.020012,0.025182,0.1715,-8.0775,0.21234,-7.4391,-0.18076,-3.2537
0.030301,0.031374,0.51449,-8.044,0.23652,-7.5044,0.65893,-2.578
0.02893,0.035103,-0.068599,-7.9373,0.24769,-7.5561,-0.19603,-2.092
0.039905,0.04191,0.54879,-7.8454,0.26988,-7.598,-0.10443,-1.7387
0.035789,0.044878,-0.2058,-7.9092,0.27408,-7.6329,0.56733,-1.4111
0.046079,0.050802,0.51449,-7.9214,0.28985,-7.6612,-0.73038,36.41
0.052253,0.057139,0.3087,-7.9472,0.30554,-6.9331,0.64366,58.12
0.059113,0.063955,0.34299,-7.6141,0.32008,-5.7709,13.254,68.719
0.074205,0.074243,0.75459,-7.0597,0.34494,-4.3969,23.957,71.869
0.068717,0.078784,-0.2744,-6.3292,0.34094,-2.9601,37.163,70.192
0.080379,0.085973,0.58309,-5.5072,0.34526,-1.557,44.598,65.568
0.098214,0.097403,0.89179,-4.2735,0.36249,-0.24646,69.285,59.143
0.10645,0.10797,0.41159,-2.5448,0.36929,0.93572,87.254,51.669
0.099586,0.1119,-0.34299,-0.79295,0.34351,1.9686,94.812,43.878
0.10919,0.11752,0.48019,0.069217,0.32489,2.8456,90.46,36.661
0.12634,0.12735,0.85749,1.6495,0.32129,3.5784,84.628,29.794
0.12908,0.13441,0.1372,3.0775,0.30302,4.1742,73.132,23.526
0.13251,0.13971,0.1715,4.0435,0.27713,4.6447,53.3,18.131
0.14349,0.14673,0.54879,4.6103,0.25957,5.0073,26.155,13.706
0.14075,0.14956,-0.1372,4.875,0.22619,5.2813,2.1093,10.223
0.15378,0.15568,0.65169,4.7015,0.21024,5.4856,-13.601,7.686
0.15378,0.15903,0,4.3245,0.1856,5.639,-18.517,5.9434
0.15378,0.16052,0,3.9865,0.15699,5.7574,-19.188,4.7536
0.16201,0.16405,0.41159,3.8612,0.1402,5.8519,-2.8373,3.8609
0.16476,0.16696,0.1372,4.1084,0.12217,5.9286,1.5597,3.0194
0.16681,0.16918,0.1029,4.3033,0.10297,5.9885,-1.5243,2.272
0.16819,0.17069,0.068599,4.4035,0.082822,6.0334,-0.54718,1.6611
0.17162,0.17255,0.1715,4.4746,0.066253,6.0662,1.1017,1.1758
0.17162,0.17335,0,4.5001,0.047217,6.0892,-1.1121,0.81151
0.17162,0.17346,0,4.5213,0.027509,6.105,1.0101,0.54066
0.16613,0.17099,-0.2744,4.6017,-0.00057922,6.1154,2.6437,0.31227
0.1675,0.16946,0.068599,4.6522,-0.021674,6.1212,3.865,0.13445
0.17024,0.16919,0.1372,4.7028,-0.035343,6.1234,1.865,-0.0040596
0.1723,0.16958,0.1029,4.8703,-0.045151,6.123,6.3994,-0.16645
